station_name,station_code,station_lat,station_long
Kamathe ,KMAH,17.4778658,73.5160553
Chiplun ,CHI,17.5333,73.5167
Debari ,DRB,23.2578992,73.519656
Sathin Road ,SWF,26.4968218,73.5199127
Bechhiwara ,BHWA,23.7867957,73.5226012
Rajkiawas ,RKZ,25.7506581,73.5236136
Odha ,ODHA,23.4376594,73.5255463
Banta Rnathgarh ,BGG,25.6022506,73.5275459
Pipar Road Junction ,PPR,26.3937293,73.5364938
Ukai Songadh ,USD,21.1624474,73.5520508
Sangmeshwar ,SGR,17.1871271,73.552051
Kharsaliya ,KRSA,22.7029953,73.5542596
Shri Ganganagar ,SGNR,29.4018554,73.5594128
Sindhudurg ,SNDD,16.3492193,73.5594128
Igatpuri ,IGP,19.6973156,73.5609361
Kamshet ,KMST,18.7658359,73.5623575
Napasar ,NPS,27.965266,73.5631941
Songadh ,SGD,21.166359,73.5645054
Adavali ,ADVI,16.9218301,73.5928138
Godhra Junction ,GDA,22.767,73.6067
Marwar Junction ,MJ,25.7227599,73.6094662
Baral ,BARL,33.1118691,73.616826
Kesri Singhpur ,KESR,29.9475208,73.6212417
Padampur ,PDF,29.707549,73.6256574
Belasar ,BLSR,27.9925871,73.6315448
Dhirera ,DHRR,28.216667,73.6333329
Auwa ,AUWA,25.6296708,73.637432
Vadgaon ,VDN,18.7381403,73.6389038
Basni ,BANE,27.1710746,73.6472387
Amlakhurd ,AMX,32.6735957,73.6558284
Kharia Khangarh ,KXG,26.6071371,73.6756947
Udaipur City ,UDZ,24.58,73.68
Talegaon ,TGN,18.7167,73.6833
Kudal ,KUDL,16.011095,73.686313
Kankavali ,KKW,16.2667,73.7
Begdewadi ,BGW,18.697671,73.705652
Vaibhavwadi Road ,VBW,16.5121414,73.7080388
Dungarpur ,DNRP,23.841668,73.7146623
Pahara ,PRE,24.5968958,73.7196227
Nasik Road ,NK,19.9366469,73.7296324
Ambagaon ,AGB,19.1123164,73.7301331
Dehu Road ,DEHR,18.683823,73.731781
Gotan ,GOTN,26.6554015,73.7330753
Zawar ,ZW,24.3539924,73.7330753
Nagaur ,NGO,27.1991222,73.740924
Zarap ,ZARP,15.9392519,73.7448437
Lunkaransar ,LKS,28.4960789,73.7458334
Phanda ,PUD,24.5213814,73.7463147
Rikhabdev Road ,RDD,23.997131,73.7480615
Sojat Road ,SOD,25.8654205,73.7507276
Sudsar ,SDF,27.986757,73.7595532
Ganagapur Road ,GUR,20.0113776,73.7605056
Sondha Road ,SCN,31.7668258,73.7758863
Akurdi ,AKRD,18.6527474,73.7801447
Sarupsar Jn ,SRPR,29.3502828,73.7904137
Kharwa Chanda ,KRCD,24.4177838,73.7942082
Navapur ,NWU,21.161766,73.7977928
Pimpri ,PMP,18.6297811,73.7997094
Pernem ,PERN,15.7167,73.8
Sant Road ,SAT,22.795576,73.800393
Chinchvad ,CCH,18.645919,73.800734
Bagri Nagar ,BQN,25.8957632,73.8069823
Jabri ,JBX,34.675,73.8111111
Nathdwara ,NDT,24.9333,73.8167
Marwar Mundwa ,MDW,27.0608377,73.8213213
Vadgaon Nila ,VDGN,18.5154742,73.8328547
Dapodi ,DAPD,18.581268,73.834386
Vasco Da Gama ,VSG,15.3860329,73.8440398
Chandawal ,CNL,26.002623,73.8448469
Mahajan ,MHJ,28.7897468,73.8448469
Lokmanya Nagar ,LKMN,18.5066779,73.8470523
Khemli ,KLH,24.6766867,73.8482595
Thivim ,THVM,15.6349283,73.8504981
Bobas ,BOBS,24.2622368,73.8580788
Jai Samand Road ,JYM,24.2212496,73.8688291
Sur Khand Ka Kh ,SZK,24.1188811,73.8805895
Vilavade ,VID,15.8672629,73.8830701
Alandi ,ALN,18.6725535,73.8893642
Ghorpuri ,GPR,18.5229518,73.8933596
Benisar ,BS,28.068019,73.895669
Suratgarh Junction ,SOG,29.3236392,73.9071395
Merta Road Junction ,MTD,26.7277544,73.9179036
Bhimal ,BIML,24.7638997,73.9183464
Phalodi ,PLC,26.72,73.92
Phalodi Junction ,PLCJ,26.72,73.92
Hadapsar ,HDP,18.4966667,73.9416667
Guriya ,GRI,25.9992906,73.9418603
Karmali ,KRMI,15.4962124,73.9418603
Verna ,VEN,15.3598717,73.9418603
Mavli Junction ,MVJ,24.6863431,73.9449137
Sarola ,SRL,18.1772341,73.9580246
Madgaon ,MAO,15.2719444,73.9583333
Biradhwal ,BDWL,29.1100214,73.9624327
Tikekarwadi ,TKWD,19.2404779,73.9683102
Satara ,STR,17.68,73.98
Kheduli ,KQW,26.7280968,73.9888797
Limkheda ,LMK,22.8358179,73.9903489
Sri Dungargarh ,SDGH,28.099873,74.009606
Fazilka ,FKA,30.4,74.0333
Khandbaara ,KBH,21.3031977,74.046169
Malikpur ,MLKP,32.6439144,74.0469034
Cancona ,CNO,14.9931145,74.0476378
